Command Sent Home Command - #0,5,00111111*79ad  * 08-04-2025 14:21:44.115
Command Sent READ TEMPERATURE - #142,11*cbae  * 08-04-2025 14:52:11.507
CRC-Response  - 142,11,F000,545*e10a * 08-04-2025 14:52:11.752
Command Sent READ TEMPERATURE - #143,11*37af  * 08-04-2025 14:52:26.943
CRC-Response  - 143,11,F000,545*6008 * 08-04-2025 14:52:27.158
Command Sent READ TEMPERATURE - #144,11*43ae  * 08-04-2025 14:52:42.322
CRC-Response  - 144,11,F000,545*2703 * 08-04-2025 14:52:42.629
Command Sent READ TEMPERATURE - #145,11*bfaf  * 08-04-2025 14:52:57.802
CRC-Response  - 145,11,F000,-273*14c0 * 08-04-2025 14:52:58.19
Command Sent READ TEMPERATURE - #146,11*fbaf  * 08-04-2025 14:53:13.191
CRC-Response  - 146,11,F000,545*6504 * 08-04-2025 14:53:13.528
Command Sent READ TEMPERATURE - #147,11*07ae  * 08-04-2025 14:53:28.715
CRC-Response  - 147,11,F000,545*e406 * 08-04-2025 14:53:28.938
Command Sent READ TEMPERATURE - #148,11*13ad  * 08-04-2025 14:53:44.121
CRC-Response  - 148,11,F000,545*eb12 * 08-04-2025 14:53:44.328
Command Sent READ TEMPERATURE - #149,11*efac  * 08-04-2025 14:53:59.495
CRC-Response  - 149,11,F000,545*6a10 * 08-04-2025 14:53:59.703
Command Sent READ TEMPERATURE - #150,11*b392  * 08-04-2025 14:54:14.878
CRC-Response  - 150,11,F000,545*620d * 08-04-2025 14:54:15.89
Command Sent READ TEMPERATURE - #151,11*4f93  * 08-04-2025 14:54:30.254
CRC-Response  - 151,11,F000,545*e30f * 08-04-2025 14:54:30.500
Command Sent READ TEMPERATURE - #152,11*0b93  * 08-04-2025 14:54:45.667
CRC-Response  - 152,11,F000,545*200a * 08-04-2025 14:54:45.949
Command Sent READ TEMPERATURE - #153,11*f792  * 08-04-2025 14:55:01.109
CRC-Response  - 153,11,F000,545*a108 * 08-04-2025 14:55:01.337
Command Sent READ TEMPERATURE - #154,11*8393  * 08-04-2025 14:55:17.505
CRC-Response  - 154,11,F000,545*e603 * 08-04-2025 14:55:17.718
Command Sent Rack-1 Picked from J2 - #155,2,2,13934,800,0,0*2b60  * 08-04-2025 14:55:20.127
CRC-Response  - 155,2,I001,2*eb09 * 08-04-2025 14:55:20.403
CRC-Response  - 155,2,F000,2*d458 * 08-04-2025 14:55:25.423
RA Picked Rack From J2 * 08-04-2025 14:55:25.432
Command Sent Rack-1 Placed in J3 - #156,3,2,17564,800,0,0*70ab  * 08-04-2025 14:55:26.121
CRC-Response  - 156,3,I001,2*2838 * 08-04-2025 14:55:26.337
CRC-Response  - 156,3,F000,2*1769 * 08-04-2025 14:55:31.941
RA Placed Rack in J3 * 08-04-2025 14:55:31.948
Command Sent READ TEMPERATURE - #157,11*c793  * 08-04-2025 14:55:36.137
CRC-Response  - 157,11,F000,545*2506 * 08-04-2025 14:55:36.352
Command Sent READ TEMPERATURE - #158,11*d390  * 08-04-2025 14:55:54.527
CRC-Response  - 158,11,F000,545*2a12 * 08-04-2025 14:55:54.742
Command Sent HEATER DOOR OPEN - #159,8,1,1*6b1b  * 08-04-2025 14:55:54.992
CRC-Response  - 159,8,I001*2932 * 08-04-2025 14:55:55.203
CRC-Response  - 159,8,F000*fdf0 * 08-04-2025 14:55:55.543
Command Sent Rack-2 Picked from H2 - #160,2,2,2688,8700,0,1*3d00  * 08-04-2025 14:55:55.870
CRC-Response  - 160,2,I001,2*bf16 * 08-04-2025 14:55:56.84
CRC-Response  - 160,2,F000,2*8047 * 08-04-2025 14:56:02.955
RA Picked Rack From H2 * 08-04-2025 14:56:02.964
Command Sent HEATER DOOR CLOSE - #161,8,1,0*7e13  * 08-04-2025 14:56:03.270
CRC-Response  - 161,8,I001*7f27 * 08-04-2025 14:56:03.480
CRC-Response  - 161,8,F000*abe5 * 08-04-2025 14:56:03.820
Command Sent Rack-2 Placed in J1 - #162,3,2,10304,800,0,0*2f15  * 08-04-2025 14:56:04.150
CRC-Response  - 162,3,I001,2*b976 * 08-04-2025 14:56:04.470
CRC-Response  - 162,3,F000,2*8627 * 08-04-2025 14:56:10.540
RA Placed Rack in J1 * 08-04-2025 14:56:10.546
Command Sent READ TEMPERATURE - #163,11*f7d6  * 08-04-2025 14:56:14.980
CRC-Response  - 163,11,F000,545*a20b * 08-04-2025 14:56:15.297
Command Sent READ TEMPERATURE - #164,11*83d7  * 08-04-2025 14:56:30.460
CRC-Response  - 164,11,F000,-273*d442 * 08-04-2025 14:56:30.739
Command Sent READ TEMPERATURE - #165,11*7fd6  * 08-04-2025 14:56:45.927
CRC-Response  - 165,11,F000,545*6402 * 08-04-2025 14:56:46.141
Command Sent READ TEMPERATURE - #166,11*3bd6  * 08-04-2025 14:57:01.304
CRC-Response  - 166,11,F000,447*a6d7 * 08-04-2025 14:57:01.670
Command Sent READ TEMPERATURE - #167,11*c7d7  * 08-04-2025 14:57:16.826
CRC-Response  - 167,11,F000,545*2605 * 08-04-2025 14:57:17.65
Command Sent READ TEMPERATURE - #168,11*d3d4  * 08-04-2025 14:57:32.246
CRC-Response  - 168,11,F000,-273*d84e * 08-04-2025 14:57:32.457
Command Sent READ TEMPERATURE - #169,11*2fd5  * 08-04-2025 14:57:47.637
CRC-Response  - 169,11,F000,545*a813 * 08-04-2025 14:57:47.864
Command Sent READ TEMPERATURE - #170,11*73eb  * 08-04-2025 14:58:03.39
CRC-Response  - 170,11,F000,545*a00e * 08-04-2025 14:58:03.254
Command Sent Home Command - #171,5,00111111*ffe5  * 08-04-2025 14:58:06.937
CRC-Response  - 171,5,I001,00111111*2869 * 08-04-2025 14:58:07.153
CRC-Response  - 171,5,F000*26e9 * 08-04-2025 14:58:07.171
Command Sent Home Command - #172,5,00111111*fbe1  * 08-04-2025 14:58:12.830
CRC-Response  - 172,5,I001,00111111*d899 * 08-04-2025 14:58:13.38
CRC-Response  - 172,5,F000*33a9 * 08-04-2025 14:58:13.52
Command Sent HEATER DOOR OPEN - #173,8,1,1*b230  * 08-04-2025 14:58:13.728
CRC-Response  - 173,8,I001*36ab * 08-04-2025 14:58:13.940
CRC-Response  - 173,8,F000*e269 * 08-04-2025 14:58:14.281
Command Sent Level Sensing For L1 - #174,4,17564,16380,0,0*a492  * 08-04-2025 14:58:14.618
CRC-Response  - 174,4,I001*1cea * 08-04-2025 14:58:14.836
CRC-Response  - 174,4,F000,958*4146 * 08-04-2025 14:58:23.125
L1 Value - 958 * 08-04-2025 14:58:23.143
Command Sent Level Sensing For L2 - #175,4,13934,16380,0,0*5cb7  * 08-04-2025 14:58:23.534
CRC-Response  - 175,4,I001*d02b * 08-04-2025 14:58:23.754
CRC-Response  - 175,4,F000,958*82bb * 08-04-2025 14:58:26.27
L2 Value - 958 * 08-04-2025 14:58:26.39
Command Sent Level Sensing For L3 - #176,4,10304,16380,0,0*15ec  * 08-04-2025 14:58:26.438
CRC-Response  - 176,4,I001*c56b * 08-04-2025 14:58:26.647
CRC-Response  - 176,4,F000,962*713f * 08-04-2025 14:58:28.942
L3 Value - 962 * 08-04-2025 14:58:28.962
Command Sent Home Command - #177,5,01111111*37fd  * 08-04-2025 14:58:29.314
CRC-Response  - 177,5,I001,01111111*499a * 08-04-2025 14:58:29.528
CRC-Response  - 177,5,F000*0c69 * 08-04-2025 14:58:29.536
Command Sent Home Command - #178,5,01111111*23e9  * 08-04-2025 14:58:31.218
CRC-Response  - 178,5,I001,01111111*baaf * 08-04-2025 14:58:31.429
CRC-Response  - 178,5,F000*4c29 * 08-04-2025 14:58:31.440
Rack - 4Protocol Started * 08-04-2025 14:58:32.695
Command Sent Rack-4 Picked from L1 - #179,2,2,17564,16380,0,0*b4d9  * 08-04-2025 14:58:32.894
CRC-Response  - 179,2,I001,2*6cc2 * 08-04-2025 14:58:33.108
CRC-Response  - 179,2,F000,2*5393 * 08-04-2025 14:58:40.287
RA Picked Rack From L1 * 08-04-2025 14:58:40.299
Command Sent Rack-4 Placed in H2 - #180,3,2,2688,8700,0,1*8238  * 08-04-2025 14:58:40.816
CRC-Response  - 180,3,I001,2*9be3 * 08-04-2025 14:58:41.28
CRC-Response  - 180,3,F000,2*a4b2 * 08-04-2025 14:58:47.901
RA Placed Rack in H2 * 08-04-2025 14:58:47.908
Command Sent HEATER DOOR CLOSE - #181,8,1,0*f292  * 08-04-2025 14:58:48.754
CRC-Response  - 181,8,I001*1f6b * 08-04-2025 14:58:48.964
CRC-Response  - 181,8,F000*cba9 * 08-04-2025 14:58:49.306
Command Sent READ TEMPERATURE - #182,11*cabe  * 08-04-2025 14:58:49.643
CRC-Response  - 182,11,F000,545*ed06 * 08-04-2025 14:58:49.848
Command Sent READ TEMPERATURE - #183,11*36bf  * 08-04-2025 14:59:05.40
CRC-Response  - 183,11,F000,545*6c04 * 08-04-2025 14:59:05.254
Command Sent READ TEMPERATURE - #184,11*42be  * 08-04-2025 14:59:08.740
CRC-Response  - 184,11,F000,447*2adf * 08-04-2025 14:59:08.945
Command Sent READ TEMPERATURE - #185,11*bebf  * 08-04-2025 14:59:20.452
CRC-Response  - 185,11,F000,545*aa0d * 08-04-2025 14:59:20.731
Command Sent READ TEMPERATURE - #186,11*fabf  * 08-04-2025 14:59:35.891
CRC-Response  - 186,11,F000,545*6908 * 08-04-2025 14:59:36.138
Command Sent READ TEMPERATURE - #187,11*06be  * 08-04-2025 14:59:51.311
CRC-Response  - 187,11,F000,545*e80a * 08-04-2025 14:59:51.522
Command Sent READ TEMPERATURE - #188,11*12bd  * 08-04-2025 15:00:06.694
CRC-Response  - 188,11,F000,447*e6ce * 08-04-2025 15:00:06.914
Command Sent READ TEMPERATURE - #189,11*eebc  * 08-04-2025 15:00:23.86
CRC-Response  - 189,11,F000,545*661c * 08-04-2025 15:00:23.299
Command Sent Rack-1 Picked from J3 - #190,2,2,17564,800,0,0*a562  * 08-04-2025 15:00:32.534
CRC-Response  - 190,2,I001,2*ab26 * 08-04-2025 15:00:32.744
CRC-Response  - 190,2,F000,2*9477 * 08-04-2025 15:00:39.614
RA Picked Rack From J3 * 08-04-2025 15:00:39.618
Command Sent Rack-1 Placed in J4 - #191,3,2,21194,800,0,0*0226  * 08-04-2025 15:00:39.937
CRC-Response  - 191,3,I001,2*a2b6 * 08-04-2025 15:00:40.152
CRC-Response  - 191,3,F000,2*9de7 * 08-04-2025 15:00:45.758
RA Placed Rack in J4 * 08-04-2025 15:00:45.762
Command Sent READ TEMPERATURE - #192,11*0a83  * 08-04-2025 15:00:50.543
CRC-Response  - 192,11,F000,-273*d60b * 08-04-2025 15:00:50.754
Command Sent READ TEMPERATURE - #193,11*f682  * 08-04-2025 15:01:08.928
CRC-Response  - 193,11,F000,-273*170b * 08-04-2025 15:01:09.146
Command Sent Rack-2 Picked from J1 - #194,2,2,10304,800,0,0*c998  * 08-04-2025 15:01:11.211
CRC-Response  - 194,2,I001,2*7e67 * 08-04-2025 15:01:11.418
CRC-Response  - 194,2,F000,2*4136 * 08-04-2025 15:01:17.838
RA Picked Rack From J1 * 08-04-2025 15:01:17.842
Command Sent Rack-2 Placed in J2 - #195,3,2,13934,800,0,0*7621  * 08-04-2025 15:01:18.107
CRC-Response  - 195,3,I001,2*77f7 * 08-04-2025 15:01:18.316
CRC-Response  - 195,3,F000,2*48a6 * 08-04-2025 15:01:23.933
RA Placed Rack in J2 * 08-04-2025 15:01:23.937
Command Sent READ TEMPERATURE - #196,11*3a82  * 08-04-2025 15:01:28.198
CRC-Response  - 196,11,F000,545*a808 * 08-04-2025 15:01:28.407
Command Sent READ TEMPERATURE - #197,11*c683  * 08-04-2025 15:01:43.560
CRC-Response  - 197,11,F000,545*290a * 08-04-2025 15:01:43.775
Command Sent READ TEMPERATURE - #198,11*d280  * 08-04-2025 15:01:58.951
CRC-Response  - 198,11,F000,447*27ce * 08-04-2025 15:01:59.166
Command Sent READ TEMPERATURE - #199,11*2e81  * 08-04-2025 15:02:14.338
CRC-Response  - 199,11,F000,-273*1d01 * 08-04-2025 15:02:14.554
Command Sent READ TEMPERATURE - #200,11*805e  * 08-04-2025 15:02:29.727
CRC-Response  - 200,11,F000,-273*e381 * 08-04-2025 15:02:29.953
Command Sent READ TEMPERATURE - #201,11*7c5f  * 08-04-2025 15:02:45.136
CRC-Response  - 201,11,F000,545*e749 * 08-04-2025 15:02:45.511
Command Sent READ TEMPERATURE - #202,11*385f  * 08-04-2025 15:03:00.684
CRC-Response  - 202,11,F000,545*244c * 08-04-2025 15:03:00.898
Command Sent READ TEMPERATURE - #203,11*c45e  * 08-04-2025 15:03:16.72
CRC-Response  - 203,11,F000,545*a54e * 08-04-2025 15:03:16.280
Command Sent READ TEMPERATURE - #204,11*b05f  * 08-04-2025 15:03:32.459
CRC-Response  - 204,11,F000,447*e395 * 08-04-2025 15:03:32.738
Command Sent Rack-1 Picked from J4 - #205,2,2,21194,800,0,0*0969  * 08-04-2025 15:03:47.381
CRC-Response  - 205,2,I001,2*231c * 08-04-2025 15:03:47.599
CRC-Response  - 205,2,F000,2*1c4d * 08-04-2025 15:03:53.614
RA Picked Rack From J4 * 08-04-2025 15:03:53.620
Command Sent Rack-1 Placed in J5 - #206,3,2,24824,800,0,0*a82f  * 08-04-2025 15:03:54.312
CRC-Response  - 206,3,I001,2*e02d * 08-04-2025 15:03:54.527
CRC-Response  - 206,3,F000,2*df7c * 08-04-2025 15:04:00.124
RA Placed Rack in J5 * 08-04-2025 15:04:00.127
Command Sent READ TEMPERATURE - #207,11*f45f  * 08-04-2025 15:04:04.394
CRC-Response  - 207,11,F000,545*2140 * 08-04-2025 15:04:04.599
Command Sent READ TEMPERATURE - #208,11*e05c  * 08-04-2025 15:04:19.784
CRC-Response  - 208,11,F000,545*2e54 * 08-04-2025 15:04:20.1
Command Sent READ TEMPERATURE - #209,11*1c5d  * 08-04-2025 15:04:35.178
CRC-Response  - 209,11,F000,447*ae86 * 08-04-2025 15:04:35.434
Command Sent READ TEMPERATURE - #210,11*4063  * 08-04-2025 15:04:50.595
CRC-Response  - 210,11,F000,545*a74b * 08-04-2025 15:04:50.869
Command Sent READ TEMPERATURE - #211,11*bc62  * 08-04-2025 15:05:06.35
CRC-Response  - 211,11,F000,545*2649 * 08-04-2025 15:05:06.251
Command Sent READ TEMPERATURE - #212,11*f862  * 08-04-2025 15:05:21.415
CRC-Response  - 212,11,F000,545*e54c * 08-04-2025 15:05:21.629
Command Sent READ TEMPERATURE - #213,11*0463  * 08-04-2025 15:05:36.799
CRC-Response  - 213,11,F000,545*644e * 08-04-2025 15:05:37.13
Command Sent READ TEMPERATURE - #214,11*7062  * 08-04-2025 15:05:52.177
CRC-Response  - 214,11,F000,545*2345 * 08-04-2025 15:05:52.386
Command Sent READ TEMPERATURE - #215,11*8c63  * 08-04-2025 15:06:08.573
CRC-Response  - 215,11,F000,545*a247 * 08-04-2025 15:06:08.856
Command Sent READ TEMPERATURE - #216,11*c863  * 08-04-2025 15:06:24.25
CRC-Response  - 216,11,F000,545*6142 * 08-04-2025 15:06:24.238
Command Sent Rack-2 Picked from J2 - #217,2,2,13934,800,0,0*24db  * 08-04-2025 15:06:24.563
CRC-Response  - 217,2,I001,2*15b9 * 08-04-2025 15:06:24.784
CRC-Response  - 217,2,F000,2*2ae8 * 08-04-2025 15:06:31.199
RA Picked Rack From J2 * 08-04-2025 15:06:31.226
Command Sent Rack-2 Placed in J3 - #218,3,2,17564,800,0,0*2e03  * 08-04-2025 15:06:31.529
CRC-Response  - 218,3,I001,2*e948 * 08-04-2025 15:06:31.743
CRC-Response  - 218,3,F000,2*d619 * 08-04-2025 15:06:37.339
RA Placed Rack in J3 * 08-04-2025 15:06:37.344
Command Sent READ TEMPERATURE - #219,11*dc60  * 08-04-2025 15:06:41.568
CRC-Response  - 219,11,F000,-273*ea49 * 08-04-2025 15:06:41.775
Command Sent READ TEMPERATURE - #220,11*4027  * 08-04-2025 15:06:59.956
CRC-Response  - 220,11,F000,545*a448 * 08-04-2025 15:07:00.270
Command Sent Rack-1 Picked from J5 - #221,2,2,24824,800,0,0*aeb2  * 08-04-2025 15:07:00.730
CRC-Response  - 221,2,I001,2*4e56 * 08-04-2025 15:07:00.952
CRC-Response  - 221,2,F000,2*7107 * 08-04-2025 15:07:06.959
RA Picked Rack From J5 * 08-04-2025 15:07:06.965
Command Sent Rack-1 Placed in J6 - #222,3,2,28454,800,0,0*e039  * 08-04-2025 15:07:07.690
CRC-Response  - 222,3,I001,2*8d67 * 08-04-2025 15:07:07.900
5 Secconds Timer increments in Jar H1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 08-04-2025 15:07:08.649
CRC-Response  - 222,3,F000,2*b236 * 08-04-2025 15:07:13.504
RA Placed Rack in J6 * 08-04-2025 15:07:13.510
11 Secconds Timer increments in Jar H1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 08-04-2025 15:07:13.663
Command Sent HEATER DOOR OPEN - #223,8,1,1*7de4  * 08-04-2025 15:07:24.849
CRC-Response  - 223,8,I001*6964 * 08-04-2025 15:07:25.60
CRC-Response  - 223,8,F000*bda6 * 08-04-2025 15:07:25.399
Command Sent Rack-3 Picked from H1 - #224,2,2,2688,1000,0,1*1085  * 08-04-2025 15:07:25.727
CRC-Response  - 224,2,I001,2*5e46 * 08-04-2025 15:07:25.938
CRC-Response  - 224,2,F000,2*6117 * 08-04-2025 15:07:34.10
RA Picked Rack From H1 * 08-04-2025 15:07:34.15
Command Sent HEATER DOOR CLOSE - #225,8,1,0*bd43  * 08-04-2025 15:07:34.644
CRC-Response  - 225,8,I001*43e4 * 08-04-2025 15:07:34.857
CRC-Response  - 225,8,F000*9726 * 08-04-2025 15:07:35.197
Command Sent Rack-3 Placed in J1 - #226,3,2,10304,800,0,0*a826  * 08-04-2025 15:07:35.529
CRC-Response  - 226,3,I001,2*5826 * 08-04-2025 15:07:35.739
CRC-Response  - 226,3,F000,2*6777 * 08-04-2025 15:07:41.778
RA Placed Rack in J1 * 08-04-2025 15:07:41.789
Command Sent READ TEMPERATURE - #227,11*3426  * 08-04-2025 15:07:45.714
CRC-Response  - 227,11,F000,545*e343 * 08-04-2025 15:07:45.926
Command Sent READ TEMPERATURE - #228,11*2025  * 08-04-2025 15:08:01.114
CRC-Response  - 228,11,F000,-273*2a0a * 08-04-2025 15:08:01.325
Command Sent READ TEMPERATURE - #229,11*dc24  * 08-04-2025 15:08:16.483
CRC-Response  - 229,11,F000,545*6d55 * 08-04-2025 15:08:16.739
Command Sent READ TEMPERATURE - #230,11*801a  * 08-04-2025 15:08:31.917
CRC-Response  - 230,11,F000,545*6548 * 08-04-2025 15:08:32.146
Command Sent READ TEMPERATURE - #231,11*7c1b  * 08-04-2025 15:08:47.346
CRC-Response  - 231,11,F000,545*e44a * 08-04-2025 15:08:47.568
Command Sent READ TEMPERATURE - #232,11*381b  * 08-04-2025 15:09:02.745
CRC-Response  - 232,11,F000,447*269f * 08-04-2025 15:09:02.956
Command Sent READ TEMPERATURE - #233,11*c41a  * 08-04-2025 15:09:18.120
CRC-Response  - 233,11,F000,545*a64d * 08-04-2025 15:09:18.330
Command Sent READ TEMPERATURE - #234,11*b01b  * 08-04-2025 15:09:33.496
CRC-Response  - 234,11,F000,447*e096 * 08-04-2025 15:09:33.708
Command Sent Home Command - #235,5,00111111*b719  * 08-04-2025 15:09:46.453
CRC-Response  - 235,5,I001,00111111*9c2e * 08-04-2025 15:09:46.663
CRC-Response  - 235,5,F000*1a2a * 08-04-2025 15:09:46.667
Command Sent HEATER DOOR OPEN - #236,8,1,1*b170  * 08-04-2025 15:09:47.346
CRC-Response  - 236,8,I001*c6a9 * 08-04-2025 15:09:47.561
CRC-Response  - 236,8,F000*126b * 08-04-2025 15:09:47.900
Rack - 5Protocol Started * 08-04-2025 15:09:48.59
Command Sent Rack-5 Picked from L2 - #237,2,2,13934,16380,0,0*883f  * 08-04-2025 15:09:48.324
CRC-Response  - 237,2,I001,2*adb2 * 08-04-2025 15:09:48.630
CRC-Response  - 237,2,F000,2*92e3 * 08-04-2025 15:09:55.302
RA Picked Rack From L2 * 08-04-2025 15:09:55.314
Command Sent Rack-5 Placed in H1 - #238,3,2,2688,1000,0,1*00fa  * 08-04-2025 15:09:55.879
CRC-Response  - 238,3,I001,2*5143 * 08-04-2025 15:09:56.90
CRC-Response  - 238,3,F000,2*6e12 * 08-04-2025 15:10:02.565
RA Placed Rack in H1 * 08-04-2025 15:10:02.572
Command Sent HEATER DOOR CLOSE - #239,8,1,0*714e  * 08-04-2025 15:10:03.363
CRC-Response  - 239,8,I001*86e9 * 08-04-2025 15:10:03.576
CRC-Response  - 239,8,F000*522b * 08-04-2025 15:10:03.916
Command Sent READ TEMPERATURE - #240,11*40af  * 08-04-2025 15:10:04.262
CRC-Response  - 240,11,F000,545*a24e * 08-04-2025 15:10:04.517
Command Sent WATER VALVE - 1 CONTROL ON - #241,13,1,1*871c  * 08-04-2025 15:10:07.118
CRC-Response  - 241,13,F000*3f5d * 08-04-2025 15:10:07.329
Command Sent Rack-1 Picked from J6 - #242,2,2,28454,800,0,0*16e0  * 08-04-2025 15:10:14.112
CRC-Response  - 242,2,I001,2*c9b8 * 08-04-2025 15:10:14.323
CRC-Response  - 242,2,F000,2*f6e9 * 08-04-2025 15:10:22.408
RA Picked Rack From J6 * 08-04-2025 15:10:22.425
Command Sent RA-1 Movement - #243,1,1,64754,800 ,0*f4e3  * 08-04-2025 15:10:23.43
CRC-Response  - 243,1,I001,1*18e9 * 08-04-2025 15:10:23.253
CRC-Response  - 243,1,F000,1*27b8 * 08-04-2025 15:10:24.256
RA Moved to assigned Location * 08-04-2025 15:10:24.265
Command Sent Rack-1 Placed in W1 - #244,3,2,42974,800,0,0*b6b2  * 08-04-2025 15:10:25.464
CRC-Response  - 244,3,I001,2*1a99 * 08-04-2025 15:10:25.683
CRC-Response  - 244,3,F000,2*25c8 * 08-04-2025 15:10:32.491
RA Placed Rack in W1 * 08-04-2025 15:10:32.498
Command Sent RA2 Home Command - #245,5,00111000*6083  * 08-04-2025 15:10:32.925
CRC-Response  - 245,5,I001,00111000*790e * 08-04-2025 15:10:33.138
CRC-Response  - 245,5,F000*2a0c * 08-04-2025 15:10:33.678
Command Sent RA2 Home Command - #246,5,00111000*6487  * 08-04-2025 15:10:35.373
CRC-Response  - 246,5,I001,00111000*89fe * 08-04-2025 15:10:35.585
CRC-Response  - 246,5,F000*3f4c * 08-04-2025 15:10:35.590
Command Sent READ TEMPERATURE - #247,11*34ae  * 08-04-2025 15:10:37.328
CRC-Response  - 247,11,F000,545*e545 * 08-04-2025 15:10:37.537
Command Sent READ TEMPERATURE - #248,11*20ad  * 08-04-2025 15:10:52.732
CRC-Response  - 248,11,F000,545*ea51 * 08-04-2025 15:10:52.944
Command Sent READ TEMPERATURE - #249,11*dcac  * 08-04-2025 15:11:08.108
CRC-Response  - 249,11,F000,545*6b53 * 08-04-2025 15:11:08.324
Command Sent READ TEMPERATURE - #250,11*8092  * 08-04-2025 15:11:24.482
CRC-Response  - 250,11,F000,447*629e * 08-04-2025 15:11:24.699
Command Sent Rack-2 Picked from J3 - #251,2,2,17564,800,0,0*a77c  * 08-04-2025 15:11:37.981
CRC-Response  - 251,2,I001,2*3a4c * 08-04-2025 15:11:38.198
CRC-Response  - 251,2,F000,2*051d * 08-04-2025 15:11:45.356
RA Picked Rack From J3 * 08-04-2025 15:11:45.360
Command Sent Rack-2 Placed in J4 - #252,3,2,21194,800,0,0*b841  * 08-04-2025 15:11:45.919
CRC-Response  - 252,3,I001,2*f97d * 08-04-2025 15:11:46.130
CRC-Response  - 252,3,F000,2*c62c * 08-04-2025 15:11:51.741
RA Placed Rack in J4 * 08-04-2025 15:11:51.747
Command Sent READ TEMPERATURE - #253,11*c492  * 08-04-2025 15:11:55.963
CRC-Response  - 253,11,F000,545*a04b * 08-04-2025 15:11:56.179
Command Sent READ TEMPERATURE - #254,11*b093  * 08-04-2025 15:12:11.367
CRC-Response  - 254,11,F000,545*e740 * 08-04-2025 15:12:11.581
Command Sent READ TEMPERATURE - #255,11*4c92  * 08-04-2025 15:12:27.753
CRC-Response  - 255,11,F000,545*6642 * 08-04-2025 15:12:27.980
Command Sent Rack-3 Picked from J1 - #0,2,2,10304,800,0,0*88ea  * 08-04-2025 15:12:42.496
CRC-Response  - 0,2,I001,2*b15e * 08-04-2025 15:12:42.708
CRC-Response  - 0,2,F000,2*8e0f * 08-04-2025 15:12:49.126
RA Picked Rack From J1 * 08-04-2025 15:12:49.132
Command Sent Rack-3 Placed in J2 - #1,3,2,13934,800,0,0*3753  * 08-04-2025 15:12:49.425
CRC-Response  - 1,3,I001,2*b8ce * 08-04-2025 15:12:49.640
CRC-Response  - 1,3,F000,2*879f * 08-04-2025 15:12:55.250
RA Placed Rack in J2 * 08-04-2025 15:12:55.261
Command Sent READ TEMPERATURE - #2,11*111b  * 08-04-2025 15:12:59.505
CRC-Response  - 2,11,F000,545*558d * 08-04-2025 15:12:59.717
Command Sent READ TEMPERATURE - #3,11*ed1a  * 08-04-2025 15:13:17.891
CRC-Response  - 3,11,F000,-273*7032 * 08-04-2025 15:13:18.111
Command Sent WATER VALVE - 1 CONTROL OFF - #4,13,1,0*80ea  * 08-04-2025 15:13:32.905
CRC-Response  - 4,13,F000*e9db * 08-04-2025 15:13:33.121
Command Sent Rack-1 Picked from W1 - #5,2,1,42974,800,0,0*8500  * 08-04-2025 15:13:33.325
CRC-Response  - 5,2,I001,1*a00e * 08-04-2025 15:13:33.532
CRC-Response  - 5,2,F000,1*9f5f * 08-04-2025 15:13:41.193
RA Picked Rack From W1 * 08-04-2025 15:13:41.200
Command Sent RA-2 Movement - #6,1,2,2688,800 ,0*ad0e  * 08-04-2025 15:13:41.755
CRC-Response  - 6,1,I001,2*bbfe * 08-04-2025 15:13:41.965
CRC-Response  - 6,1,F000,2*84af * 08-04-2025 15:13:44.69
RA Moved to assigned Location * 08-04-2025 15:13:44.77
Command Sent Rack-1 Placed in J8 - #7,3,1,35714,800,0,0*d602  * 08-04-2025 15:13:45.137
CRC-Response  - 7,3,I001,1*a66e * 08-04-2025 15:13:45.349
CRC-Response  - 7,3,F000,1*993f * 08-04-2025 15:13:51.367
RA Placed Rack in J8 * 08-04-2025 15:13:51.373
Command Sent RA1 Home Command - #8,5,00000111*4b71  * 08-04-2025 15:13:52.64
CRC-Response  - 8,5,I001,00000111*411a * 08-04-2025 15:13:52.282
CRC-Response  - 8,5,F000*4b3a * 08-04-2025 15:13:52.819
Command Sent RA1 Home Command - #9,5,00000111*888c  * 08-04-2025 15:13:54.514
