Command Sent SET TEMPERATURE - #0,10,32*870a  * 07-04-2025 16:26:51.990
RA Picked Rack From J20 * 07-04-2025 17:14:19.828
Command Sent Rack-3 Placed in J21 - #116,3,2,28454,8590,0,0*69db  * 07-04-2025 17:14:20.260
CRC-Response  - 116,3,I001,2*182d * 07-04-2025 17:14:20.468
CRC-Response  - 116,3,F000,2*277c * 07-04-2025 17:14:26.73
RA Placed Rack in J21 * 07-04-2025 17:14:26.80
Command Sent Home Command - #117,5,00111111*31e4  * 07-04-2025 17:14:27.534
CRC-Response  - 117,5,I001,00111111*006a * 07-04-2025 17:14:27.790
CRC-Response  - 117,5,F000*ac42 * 07-04-2025 17:14:27.805
Command Sent WATER VALVE - 6 CONTROL ON - #118,13,6,1*73a2  * 07-04-2025 17:14:29.296
CRC-Response  - 118,13,F000*3b28 * 07-04-2025 17:14:29.507
Command Sent Rack-4 Picked from J18 - #119,2,1,39344,8590,0,0*ed6d  * 07-04-2025 17:14:46.367
CRC-Response  - 119,2,I001,1*e59c * 07-04-2025 17:14:46.588
CRC-Response  - 119,2,F000,1*dacd * 07-04-2025 17:14:54.774
RA Picked Rack From J18 * 07-04-2025 17:14:54.779
Command Sent Rack-4 Placed in W6 - #120,3,1,42974,8590,0,0*aad8  * 07-04-2025 17:14:55.325
CRC-Response  - 120,3,I001,1*4282 * 07-04-2025 17:14:55.533
CRC-Response  - 120,3,F000,1*7dd3 * 07-04-2025 17:15:01.147
RA Placed Rack in W6 * 07-04-2025 17:15:01.154
Command Sent READ TEMPERATURE - #121,11*8f26  * 07-04-2025 17:15:05.901
CRC-Response  - 121,11,F000,545*2409 * 07-04-2025 17:15:06.112
Command Sent Rack-2 Picked from J25 - #122,2,2,13934,8590,0,0*f1a2  * 07-04-2025 17:15:13.26
CRC-Response  - 122,2,I001,2*45a2 * 07-04-2025 17:15:13.239
CRC-Response  - 122,2,F000,2*7af3 * 07-04-2025 17:15:20.10
RA Picked Rack From J25 * 07-04-2025 17:15:20.18
Command Sent RA-1 Movement - #123,1,1,64754,800 ,0*4f2f  * 07-04-2025 17:15:20.519
CRC-Response  - 123,1,I001,1*94f3 * 07-04-2025 17:15:20.737
CRC-Response  - 123,1,F000,1*aba2 * 07-04-2025 17:15:24.23
RA Moved to assigned Location * 07-04-2025 17:15:24.27
Command Sent Rack-2 Placed in U2 - #124,3,2,57494,16380,0,0*fcbf  * 07-04-2025 17:15:24.965
CRC-Response  - 124,3,I001,2*9683 * 07-04-2025 17:15:25.180
5 Secconds Timer increments in Jar J21 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:15:26.609
5 Secconds Timer increments in Jar J21 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:15:31.610
CRC-Response  - 124,3,F000,2*a9d2 * 07-04-2025 17:15:35.257
RA Placed Rack in U2 * 07-04-2025 17:15:35.261
Command Sent RA-2 Movement - #125,1,2,2688,800 ,0*4676  * 07-04-2025 17:15:35.955
CRC-Response  - 125,1,I001,2*8a53 * 07-04-2025 17:15:36.169
R2Protocol End Time * 07-04-2025 17:15:36.681
5 Secconds Timer increments in Jar J21 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:15:38.726
5 Secconds Timer increments in Jar J21 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:15:41.717
CRC-Response  - 125,1,F000,2*b502 * 07-04-2025 17:15:43.154
RA Moved to assigned Location * 07-04-2025 17:15:43.159
Command Sent WATER VALVE - 1 CONTROL ON - #126,13,1,1*ce86  * 07-04-2025 17:15:43.615
CRC-Response  - 126,13,F000*5494 * 07-04-2025 17:15:43.830
Command Sent WATER VALVE - 2 CONTROL ON - #127,13,2,1*02b7  * 07-04-2025 17:15:44.17
5 Secconds Timer increments in Jar J21 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:15:49.38
CRC-Response  - 127,13,F000*c499 * 07-04-2025 17:15:49.314
11 Secconds Timer increments in Jar J8 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:15:50.789
Command Sent Rack-3 Picked from J21 - #128,2,2,28454,8590,0,0*89d0  * 07-04-2025 17:15:52.206
CRC-Response  - 128,2,I001,2*6582 * 07-04-2025 17:15:52.419
5 Secconds Timer increments in Jar J6 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:16:00.457
CRC-Response  - 128,2,F000,2*5ad3 * 07-04-2025 17:16:00.502
RA Picked Rack From J21 * 07-04-2025 17:16:00.505
Command Sent Rack-3 Placed in J22 - #129,3,2,24824,8590,0,0*0ca7  * 07-04-2025 17:16:01.199
CRC-Response  - 129,3,I001,2*6c12 * 07-04-2025 17:16:01.411
5 Secconds Timer increments in Jar W6 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:16:01.660
5 Secconds Timer increments in Jar J8 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:16:01.784
5 Secconds Timer increments in Jar J6 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:16:05.451
5 Secconds Timer increments in Jar W6 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:16:06.671
5 Secconds Timer increments in Jar J8 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:16:06.790
CRC-Response  - 129,3,F000,2*5343 * 07-04-2025 17:16:07.10
RA Placed Rack in J22 * 07-04-2025 17:16:07.15
11 Secconds Timer increments in Jar J6 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:16:10.483
18 Secconds Timer increments in Jar W6 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:16:11.716
Command Sent Rack-5 Picked from J8 - #130,2,2,35714,800,0,0*e9be  * 07-04-2025 17:16:11.947
CRC-Response  - 130,2,I001,2*7307 * 07-04-2025 17:16:12.161
CRC-Response  - 130,2,F000,2*4c56 * 07-04-2025 17:16:18.571
RA Picked Rack From J8 * 07-04-2025 17:16:18.574
Command Sent RA-1 Movement - #131,1,1,64754,800 ,0*0bb3  * 07-04-2025 17:16:18.884
CRC-Response  - 131,1,I001,1*a256 * 07-04-2025 17:16:19.98
CRC-Response  - 131,1,F000,1*9d07 * 07-04-2025 17:16:19.839
RA Moved to assigned Location * 07-04-2025 17:16:19.854
Command Sent Rack-5 Placed in W2 - #132,3,2,46604,800,0,0*bbcc  * 07-04-2025 17:16:20.260
CRC-Response  - 132,3,I001,2*7567 * 07-04-2025 17:16:20.476
5 Secconds Timer increments in Jar J6 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:16:21.489
5 Secconds Timer increments in Jar J6 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:16:26.504
CRC-Response  - 132,3,F000,2*4a36 * 07-04-2025 17:16:26.889
RA Placed Rack in W2 * 07-04-2025 17:16:26.893
Command Sent RA-2 Movement - #133,1,2,2688,800 ,0*1bc4  * 07-04-2025 17:16:27.201
CRC-Response  - 133,1,I001,2*69b7 * 07-04-2025 17:16:27.414
5 Secconds Timer increments in Jar W6 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:16:29.764
5 Secconds Timer increments in Jar J6 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:16:31.537
CRC-Response  - 133,1,F000,2*56e6 * 07-04-2025 17:16:33.166
RA Moved to assigned Location * 07-04-2025 17:16:33.172
11 Secconds Timer increments in Jar W6 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:16:34.788
Command Sent Rack-6 Picked from J6 - #134,2,2,28454,800,0,0*1aee  * 07-04-2025 17:16:36.760
CRC-Response  - 134,2,I001,2*a646 * 07-04-2025 17:16:36.975
CRC-Response  - 134,2,F000,2*9917 * 07-04-2025 17:16:45.65
RA Picked Rack From J6 * 07-04-2025 17:16:45.71
Command Sent RA-1 Movement - #135,1,1,64754,800 ,0*3af2  * 07-04-2025 17:16:45.283
CRC-Response  - 135,1,I001,1*7717 * 07-04-2025 17:16:45.497
5 Secconds Timer increments in Jar W6 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:16:45.794
CRC-Response  - 135,1,F000,1*4846 * 07-04-2025 17:16:46.236
RA Moved to assigned Location * 07-04-2025 17:16:46.240
Command Sent Rack-6 Placed in W1 - #136,3,2,42974,800,0,0*8a4d  * 07-04-2025 17:16:46.682
CRC-Response  - 136,3,I001,2*a026 * 07-04-2025 17:16:46.896
5 Secconds Timer increments in Jar W6 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:16:50.817
CRC-Response  - 136,3,F000,2*9f77 * 07-04-2025 17:16:53.739
RA Placed Rack in W1 * 07-04-2025 17:16:53.745
Command Sent RA-2 Movement - #137,1,2,2688,800 ,0*da86  * 07-04-2025 17:16:54.90
CRC-Response  - 137,1,I001,2*bcf6 * 07-04-2025 17:16:54.305
5 Secconds Timer increments in Jar W6 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:16:55.837
CRC-Response  - 137,1,F000,2*83a7 * 07-04-2025 17:16:59.659
RA Moved to assigned Location * 07-04-2025 17:16:59.664
Command Sent WATER VALVE - 6 CONTROL OFF - #138,13,6,0*d37a  * 07-04-2025 17:17:01.31
CRC-Response  - 138,13,F000*f189 * 07-04-2025 17:17:01.248
Command Sent Rack-4 Picked from W6 - #139,2,1,42974,8590,0,0*1f45  * 07-04-2025 17:17:01.455
CRC-Response  - 139,2,I001,1*5d97 * 07-04-2025 17:17:01.664
5 Secconds Timer increments in Jar J22 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:17:07.666
CRC-Response  - 139,2,F000,1*62c6 * 07-04-2025 17:17:09.318
RA Picked Rack From W6 * 07-04-2025 17:17:09.327
Command Sent RA-2 Movement - #140,1,2,2688,800 ,0*9e85  * 07-04-2025 17:17:09.926
CRC-Response  - 140,1,I001,2*125d * 07-04-2025 17:17:10.136
CRC-Response  - 140,1,F000,2*2d0c * 07-04-2025 17:17:10.874
RA Moved to assigned Location * 07-04-2025 17:17:10.881
Command Sent Rack-4 Placed in J19 - #141,3,1,35714,8590,0,0*c279  * 07-04-2025 17:17:11.318
CRC-Response  - 141,3,I001,1*0fcd * 07-04-2025 17:17:11.534
5 Secconds Timer increments in Jar J22 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:17:12.660
CRC-Response  - 141,3,F000,1*309c * 07-04-2025 17:17:17.552
RA Placed Rack in J19 * 07-04-2025 17:17:17.558
11 Secconds Timer increments in Jar J22 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:17:17.784
Command Sent RA-1 Movement - #142,1,1,64754,800 ,0*3bf6  * 07-04-2025 17:17:17.786
CRC-Response  - 142,1,I001,1*d9bc * 07-04-2025 17:17:18.0
CRC-Response  - 142,1,F000,1*e6ed * 07-04-2025 17:17:22.96
RA Moved to assigned Location * 07-04-2025 17:17:22.105
18 Secconds Timer increments in Jar W2 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:17:27.191
Command Sent Rack-3 Picked from J22 - #143,2,2,24824,8590,0,0*3d08  * 07-04-2025 17:17:28.959
CRC-Response  - 143,2,I001,2*08ed * 07-04-2025 17:17:29.172
CRC-Response  - 143,2,F000,2*37bc * 07-04-2025 17:17:36.857
RA Picked Rack From J22 * 07-04-2025 17:17:36.862
Command Sent Rack-3 Placed in J23 - #144,3,2,21194,8590,0,0*4bd9  * 07-04-2025 17:17:37.417
CRC-Response  - 144,3,I001,2*1e9d * 07-04-2025 17:17:37.632
CRC-Response  - 144,3,F000,2*21cc * 07-04-2025 17:17:43.238
RA Placed Rack in J23 * 07-04-2025 17:17:43.243
Command Sent WATER VALVE - 2 CONTROL OFF - #145,13,2,0*bbdc  * 07-04-2025 17:17:45.378
CRC-Response  - 145,13,F000*bb60 * 07-04-2025 17:17:45.592
Command Sent Rack-5 Picked from W2 - #146,2,1,46604,800,0,0*ad9a  * 07-04-2025 17:17:45.768
CRC-Response  - 146,2,I001,1*19bd * 07-04-2025 17:17:45.978
CRC-Response  - 146,2,F000,1*26ec * 07-04-2025 17:17:53.234
RA Picked Rack From W2 * 07-04-2025 17:17:53.241
Command Sent Rack-5 Placed in J9 - #147,3,1,39344,800,0,0*8bb9  * 07-04-2025 17:17:53.731
CRC-Response  - 147,3,I001,1*102d * 07-04-2025 17:17:53.950
CRC-Response  - 147,3,F000,1*2f7c * 07-04-2025 17:17:59.969
RA Placed Rack in J9 * 07-04-2025 17:17:59.975
Command Sent READ TEMPERATURE - #148,11*13ad  * 07-04-2025 17:18:04.447
CRC-Response  - 148,11,F000,545*eb12 * 07-04-2025 17:18:04.658
Command Sent Rack-4 Picked from J19 - #149,2,2,35714,8590,0,0*8689  * 07-04-2025 17:18:17.912
CRC-Response  - 149,2,I001,2*28cd * 07-04-2025 17:18:18.141
CRC-Response  - 149,2,F000,2*179c * 07-04-2025 17:18:24.950
RA Picked Rack From J19 * 07-04-2025 17:18:24.956
Command Sent Rack-4 Placed in J20 - #150,3,2,32084,8590,0,0*23c4  * 07-04-2025 17:18:25.384
CRC-Response  - 150,3,I001,2*37d8 * 07-04-2025 17:18:25.599
CRC-Response  - 150,3,F000,2*0889 * 07-04-2025 17:18:31.205
RA Placed Rack in J20 * 07-04-2025 17:18:31.214
Command Sent READ TEMPERATURE - #151,11*4f93  * 07-04-2025 17:18:35.962
CRC-Response  - 151,11,F000,545*e30f * 07-04-2025 17:18:36.182
Command Sent WATER VALVE - 2 CONTROL ON - #152,13,2,1*0d51  * 07-04-2025 17:18:43.244
CRC-Response  - 152,13,F000*4e17 * 07-04-2025 17:18:43.450
Command Sent Rack-3 Picked from J23 - #153,2,2,21194,8590,0,0*d12d  * 07-04-2025 17:18:44.38
CRC-Response  - 153,2,I001,2*f4e9 * 07-04-2025 17:18:44.251
CRC-Response  - 153,2,F000,2*cbb8 * 07-04-2025 17:18:50.668
RA Picked Rack From J23 * 07-04-2025 17:18:50.674
Command Sent Rack-3 Placed in J24 - #154,3,2,17564,8590,0,0*8402  * 07-04-2025 17:18:50.976
CRC-Response  - 154,3,I001,2*e299 * 07-04-2025 17:18:51.190
Rack Unloaded From U1 * 07-04-2025 17:18:52.716
5 Secconds Timer increments in Jar W1 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:18:54.205
Rack Unloaded From U2 * 07-04-2025 17:18:55.765
CRC-Response  - 154,3,F000,2*ddc8 * 07-04-2025 17:18:56.803
RA Placed Rack in J24 * 07-04-2025 17:18:56.807
18 Secconds Timer increments in Jar W1 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:18:59.210
Command Sent Rack-5 Picked from J9 - #155,2,1,39344,800,0,0*72ac  * 07-04-2025 17:19:00.289
CRC-Response  - 155,2,I001,1*ea49 * 07-04-2025 17:19:00.506
CRC-Response  - 155,2,F000,1*d518 * 07-04-2025 17:19:05.588
RA Picked Rack From J9 * 07-04-2025 17:19:05.594
Command Sent Rack-5 Placed in W2 - #156,3,1,46604,800,0,0*ecf6  * 07-04-2025 17:19:06.261
CRC-Response  - 156,3,I001,1*2978 * 07-04-2025 17:19:06.479
CRC-Response  - 156,3,F000,1*1629 * 07-04-2025 17:19:12.496
RA Placed Rack in W2 * 07-04-2025 17:19:12.502
Command Sent READ TEMPERATURE - #157,11*c793  * 07-04-2025 17:19:16.290
CRC-Response  - 157,11,F000,545*2506 * 07-04-2025 17:19:16.499
Command Sent Rack-4 Picked from J20 - #158,2,2,32084,8590,0,0*9674  * 07-04-2025 17:19:16.995
CRC-Response  - 158,2,I001,2*1198 * 07-04-2025 17:19:17.208
5 Secconds Timer increments in Jar W1 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:19:17.248
5 Secconds Timer increments in Jar W1 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:19:22.268
CRC-Response  - 158,2,F000,2*2ec9 * 07-04-2025 17:19:24.37
RA Picked Rack From J20 * 07-04-2025 17:19:24.42
Command Sent Rack-4 Placed in J21 - #159,3,2,28454,8590,0,0*13ca  * 07-04-2025 17:19:24.461
CRC-Response  - 159,3,I001,2*1808 * 07-04-2025 17:19:24.667
5 Secconds Timer increments in Jar W1 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:19:27.273
CRC-Response  - 159,3,F000,2*2759 * 07-04-2025 17:19:30.277
RA Placed Rack in J21 * 07-04-2025 17:19:30.299
Command Sent WATER VALVE - 1 CONTROL OFF - #160,13,1,0*e4f5  * 07-04-2025 17:19:32.454
CRC-Response  - 160,13,F000*21fe * 07-04-2025 17:19:32.671
Command Sent Rack-6 Picked from W1 - #161,2,1,42974,800,0,0*3a26  * 07-04-2025 17:19:32.915
CRC-Response  - 161,2,I001,1*7b07 * 07-04-2025 17:19:33.122
CRC-Response  - 161,2,F000,1*4456 * 07-04-2025 17:19:38.745
RA Picked Rack From W1 * 07-04-2025 17:19:38.756
Command Sent RA-2 Movement - #162,1,2,2688,800 ,0*4685  * 07-04-2025 17:19:39.351
CRC-Response  - 162,1,I001,2*60f7 * 07-04-2025 17:19:39.563
CRC-Response  - 162,1,F000,2*5fa6 * 07-04-2025 17:19:43.299
RA Moved to assigned Location * 07-04-2025 17:19:43.303
Command Sent Rack-6 Placed in J8 - #163,3,1,35714,800,0,0*6924  * 07-04-2025 17:19:43.775
CRC-Response  - 163,3,I001,1*7d67 * 07-04-2025 17:19:43.996
CRC-Response  - 163,3,F000,1*4236 * 07-04-2025 17:19:50.8
RA Placed Rack in J8 * 07-04-2025 17:19:50.14
Command Sent RA-1 Movement - #164,1,1,64754,800 ,0*0a6f  * 07-04-2025 17:19:50.231
CRC-Response  - 164,1,I001,1*7e57 * 07-04-2025 17:19:50.445
CRC-Response  - 164,1,F000,1*4106 * 07-04-2025 17:19:54.541
RA Moved to assigned Location * 07-04-2025 17:19:54.549
Command Sent READ TEMPERATURE - #165,11*7fd6  * 07-04-2025 17:19:59.66
CRC-Response  - 165,11,F000,545*6402 * 07-04-2025 17:19:59.277
Command Sent WATER VALVE - 2 CONTROL OFF - #166,13,2,0*ce85  * 07-04-2025 17:20:12.880
CRC-Response  - 166,13,F000*81d5 * 07-04-2025 17:20:13.94
Command Sent Rack-5 Picked from W2 - #167,2,1,46604,800,0,0*b3de  * 07-04-2025 17:20:13.278
CRC-Response  - 167,2,I001,1*64e7 * 07-04-2025 17:20:13.495
CRC-Response  - 167,2,F000,1*5bb6 * 07-04-2025 17:20:20.724
RA Picked Rack From W2 * 07-04-2025 17:20:20.729
Command Sent Rack-5 Placed in J18 - #168,3,1,39344,8590,0,0*7777  * 07-04-2025 17:20:21.293
CRC-Response  - 168,3,I001,1*9816 * 07-04-2025 17:20:21.507
CRC-Response  - 168,3,F000,1*a747 * 07-04-2025 17:20:27.537
RA Placed Rack in J18 * 07-04-2025 17:20:27.541
Command Sent Rack-4 Picked from J21 - #169,2,2,28454,8590,0,0*dca8  * 07-04-2025 17:20:31.8
CRC-Response  - 169,2,I001,2*90c6 * 07-04-2025 17:20:31.226
CRC-Response  - 169,2,F000,2*af97 * 07-04-2025 17:20:39.317
RA Picked Rack From J21 * 07-04-2025 17:20:39.323
Command Sent Rack-4 Placed in J22 - #170,3,2,24824,8590,0,0*c12e  * 07-04-2025 17:20:39.956
CRC-Response  - 170,3,I001,2*8fd3 * 07-04-2025 17:20:40.168
CRC-Response  - 170,3,F000,2*b082 * 07-04-2025 17:20:45.778
RA Placed Rack in J22 * 07-04-2025 17:20:45.784
Command Sent READ TEMPERATURE - #171,11*8fea  * 07-04-2025 17:20:49.964
CRC-Response  - 171,11,F000,545*210c * 07-04-2025 17:20:50.175
Command Sent Rack-3 Picked from J24 - #172,2,2,17564,8590,0,0*fcf8  * 07-04-2025 17:20:57.819
CRC-Response  - 172,2,I001,2*89b3 * 07-04-2025 17:20:58.30
CRC-Response  - 172,2,F000,2*b6e2 * 07-04-2025 17:21:04.40
RA Picked Rack From J24 * 07-04-2025 17:21:04.49
Command Sent Rack-3 Placed in J25 - #173,3,2,13934,8590,0,0*899b  * 07-04-2025 17:21:04.779
CRC-Response  - 173,3,I001,2*8023 * 07-04-2025 17:21:04.986
CRC-Response  - 173,3,F000,2*bf72 * 07-04-2025 17:21:10.596
RA Placed Rack in J25 * 07-04-2025 17:21:10.602
Command Sent WATER VALVE - 6 CONTROL ON - #174,13,6,1*8689  * 07-04-2025 17:21:11.861
CRC-Response  - 174,13,F000*249d * 07-04-2025 17:21:12.72
Command Sent Rack-5 Picked from J18 - #175,2,1,39344,8590,0,0*461b  * 07-04-2025 17:21:27.900
CRC-Response  - 175,2,I001,1*5242 * 07-04-2025 17:21:28.159
CRC-Response  - 175,2,F000,1*6d13 * 07-04-2025 17:21:33.195
RA Picked Rack From J18 * 07-04-2025 17:21:33.199
Command Sent Rack-5 Placed in W6 - #176,3,1,42974,8590,0,0*9905  * 07-04-2025 17:21:33.869
CRC-Response  - 176,3,I001,1*9173 * 07-04-2025 17:21:34.83
CRC-Response  - 176,3,F000,1*ae22 * 07-04-2025 17:21:39.699
RA Placed Rack in W6 * 07-04-2025 17:21:39.709
Command Sent READ TEMPERATURE - #177,11*07ea  * 07-04-2025 17:21:43.906
CRC-Response  - 177,11,F000,-273*d780 * 07-04-2025 17:21:44.118
Command Sent Rack-4 Picked from J22 - #178,2,2,24824,8590,0,0*749e  * 07-04-2025 17:21:46.636
CRC-Response  - 178,2,I001,2*a993 * 07-04-2025 17:21:46.854
CRC-Response  - 178,2,F000,2*96c2 * 07-04-2025 17:21:53.259
RA Picked Rack From J22 * 07-04-2025 17:21:53.270
Command Sent Rack-4 Placed in J23 - #179,3,2,21194,8590,0,0*64c7  * 07-04-2025 17:21:53.591
CRC-Response  - 179,3,I001,2*a003 * 07-04-2025 17:21:53.801
CRC-Response  - 179,3,F000,2*9f52 * 07-04-2025 17:21:59.410
RA Placed Rack in J23 * 07-04-2025 17:21:59.414
Command Sent READ TEMPERATURE - #180,11*72bf  * 07-04-2025 17:22:03.670
CRC-Response  - 180,11,F000,545*af01 * 07-04-2025 17:22:03.882
Command Sent READ TEMPERATURE - #181,11*8ebe  * 07-04-2025 17:22:19.59
CRC-Response  - 181,11,F000,545*2e03 * 07-04-2025 17:22:19.284
Command Sent WATER VALVE - 2 CONTROL ON - #182,13,2,1*9d09  * 07-04-2025 17:22:33.789
CRC-Response  - 182,13,F000*b486 * 07-04-2025 17:22:34.0
Command Sent WATER VALVE - 6 CONTROL OFF - #183,13,6,0*5048  * 07-04-2025 17:22:40.539
CRC-Response  - 183,13,F000*248b * 07-04-2025 17:22:40.754
Command Sent Rack-5 Picked from W6 - #184,2,1,42974,8590,0,0*78d2  * 07-04-2025 17:22:40.939
CRC-Response  - 184,2,I001,1*8323 * 07-04-2025 17:22:41.154
CRC-Response  - 184,2,F000,1*bc72 * 07-04-2025 17:22:46.241
RA Picked Rack From W6 * 07-04-2025 17:22:46.253
Command Sent RA-2 Movement - #185,1,2,2688,800 ,0*9c55  * 07-04-2025 17:22:46.890
CRC-Response  - 185,1,I001,2*5272 * 07-04-2025 17:22:47.106
CRC-Response  - 185,1,F000,2*6d23 * 07-04-2025 17:22:50.38
RA Moved to assigned Location * 07-04-2025 17:22:50.41
Command Sent Rack-5 Placed in J19 - #186,3,1,35714,8590,0,0*b900  * 07-04-2025 17:22:50.282
CRC-Response  - 186,3,I001,1*8543 * 07-04-2025 17:22:50.499
5 Secconds Timer increments in Jar J8 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:22:50.660
5 Secconds Timer increments in Jar J8 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:22:55.677
CRC-Response  - 186,3,F000,1*ba12 * 07-04-2025 17:22:56.516
RA Placed Rack in J19 * 07-04-2025 17:22:56.519
Command Sent RA-1 Movement - #187,1,1,64754,800 ,0*a7f5  * 07-04-2025 17:22:56.790
CRC-Response  - 187,1,I001,1*9993 * 07-04-2025 17:22:57.11
5 Secconds Timer increments in Jar J23 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:23:00.113
5 Secconds Timer increments in Jar J8 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:23:00.704
CRC-Response  - 187,1,F000,1*a6c2 * 07-04-2025 17:23:01.113
RA Moved to assigned Location * 07-04-2025 17:23:01.137
11 Secconds Timer increments in Jar J23 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:23:05.123
Command Sent Rack-6 Picked from J8 - #188,2,2,35714,800,0,0*f2f9  * 07-04-2025 17:23:05.871
CRC-Response  - 188,2,I001,2*bda3 * 07-04-2025 17:23:06.87
5 Secconds Timer increments in Jar J25 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:23:11.288
CRC-Response  - 188,2,F000,2*82f2 * 07-04-2025 17:23:14.972
RA Picked Rack From J8 * 07-04-2025 17:23:14.978
Command Sent RA-1 Movement - #189,1,1,64754,800 ,0*4c97  * 07-04-2025 17:23:15.325
CRC-Response  - 189,1,I001,1*6cf2 * 07-04-2025 17:23:15.543
5 Secconds Timer increments in Jar J23 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:23:16.160
CRC-Response  - 189,1,F000,1*53a3 * 07-04-2025 17:23:16.282
RA Moved to assigned Location * 07-04-2025 17:23:16.291
11 Secconds Timer increments in Jar J25 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:23:16.298
Command Sent Rack-6 Placed in W2 - #190,3,2,46604,800,0,0*a82d  * 07-04-2025 17:23:16.762
CRC-Response  - 190,3,I001,2*67e7 * 07-04-2025 17:23:16.979
5 Secconds Timer increments in Jar J23 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:23:21.156
CRC-Response  - 190,3,F000,2*58b6 * 07-04-2025 17:23:23.387
RA Placed Rack in W2 * 07-04-2025 17:23:23.392
Command Sent RA-2 Movement - #191,1,2,2688,800 ,0*a146  * 07-04-2025 17:23:23.755
CRC-Response  - 191,1,I001,2*7b37 * 07-04-2025 17:23:23.973
5 Secconds Timer increments in Jar J23 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:23:26.161
5 Secconds Timer increments in Jar J25 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:23:27.336
CRC-Response  - 191,1,F000,2*4466 * 07-04-2025 17:23:29.724
RA Moved to assigned Location * 07-04-2025 17:23:29.730
Command Sent Rack-4 Picked from J23 - #192,2,2,21194,8590,0,0*ccdc  * 07-04-2025 17:23:31.354
CRC-Response  - 192,2,I001,2*6187 * 07-04-2025 17:23:31.565
5 Secconds Timer increments in Jar J25 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:23:32.342
5 Secconds Timer increments in Jar J25 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:23:37.373
CRC-Response  - 192,2,F000,2*5ed6 * 07-04-2025 17:23:38.841
RA Picked Rack From J23 * 07-04-2025 17:23:38.846
Command Sent Rack-4 Placed in J24 - #193,3,2,17564,8590,0,0*ff7b  * 07-04-2025 17:23:39.309
